Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Solar Azimuth Angle [deg](TimeStep),Environment:Site Solar Altitude Angle [deg](TimeStep) 
 12/21  07:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,118.63043357797746,-1.7919916616256402 
 12/21  07:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,120.90708238149557,0.7862963871812766 
 12/21  07:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,123.25300519597627,3.3030333195720165 
 12/21  08:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,125.6757193816166,5.751985180979268 
 12/21  08:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,128.1825504249241,8.126409433890093 
 12/21  08:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,130.7805397151964,10.41902790138508 
 12/21  08:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,133.47631084341998,12.622010360154638 
 12/21  09:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,136.27589060829226,14.726973026841785 
 12/21  09:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,139.18448231698557,16.724997043333303 
 12/21  09:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,142.2061917463987,18.606672776200504 
 12/21  09:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,145.34371061327434,20.36217610788907 
 12/21  10:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,148.59796877461397,21.981382653079123 
 12/21  10:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,151.96777450727012,23.45402468019106 
 12/21  10:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,155.44947142529267,24.76989316278888 
 12/21  10:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,159.03664949215653,25.919083639312323 
 12/21  11:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,162.7199540168638,26.892279462553745 
 12/21  11:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,166.48703781757357,27.68105997343066 
 12/21  11:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,170.32269534773974,28.278214976287217 
 12/21  11:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,174.20920207276652,28.67804185587909 
 12/21  12:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,178.1268584831889,28.876599154007536 
 12/21  12:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,182.05470931253308,28.871891579208256 
 12/21  12:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,185.97138065754768,28.663966733660125 
 12/21  12:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,189.85595750279728,28.254912781400243 
 12/21  13:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,193.68881698484998,27.64875732131867 
 12/21  13:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,197.45234057562197,26.851278715545305 
 12/21  13:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,201.13144905244556,25.86974992282105 
 12/21  13:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,204.71393218632068,24.712640008324158 
 12/21  14:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,208.19057378535135,23.38929946941414 
 12/21  14:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,211.55509629925345,21.909652849092634 
 12/21  14:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,214.8039642720736,20.283916989320144 
 12/21  14:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,217.93609191923716,18.522357099429776 
 12/21  15:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,220.9524985123925,16.635086796872795 
 12/21  15:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,223.85594865287973,14.631913237340397 
 12/21  15:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,226.65060555965553,12.522224770714534 
 12/21  15:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,229.34171631316045,10.314916265060525 
 12/21  16:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,231.93533994041238,8.018346136295989 
 12/21  16:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,234.43812294124112,5.640318911530055 
 12/21  16:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,236.85712245756386,3.188087537784389 
 12/21  16:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,239.19967458087325,0.6683703682067418 
 12/21  17:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,241.47330394511923,-1.9126213769214975 
 12/21  17:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,243.6856704125015,-4.549148994678884 
 12/21  17:30:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,245.84454902591878,-7.235907024031887 
 12/21  17:45:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,247.9578402474924,-9.967981069485594 
 12/21  18:00:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,250.03360868271437,-12.740803843795263 
 12/21  18:15:00,-20.0,-20.000010377544204,-20.00000247649434,0.0,0.0,252.08014993631818,-15.550109994725688 
